Gene,Name,Evidence
23394,ADNP,E1
158,ADSL,E1
2334,AFF2,E1
27245,AHDC1,E1
7915,ALDH5A1,E1
287,ANK2,E1
288,ANK3,E1
29123,ANKRD11,E1
23229,ARHGEF9,E1
57492,ARID1B,E1
170302,ARX,E1
55870,ASH1L,E1
80816,ASXL3,E1
1175,AP2S1,E1
546,ATRX,E1
26053,AUTS2,E1
29994,BAZ2B,E1
10295,BCKDK,E1
53335,BCL11A,E1
673,BRAF,E1
9024,BRSK2,E1
775,CACNA1C,E1
777,CACNA1E,E1
55799,CACNA2D3,E1
8573,CASK,E1
6792,CDKL5,E1
56853,CELF4,E1
283489,CHAMP1,E1
1106,CHD2,E1
1107,CHD3,E1
55636,CHD7,E1
57680,CHD8,E1
23152,CIC,E1
4849,CNOT3,E1
1387,CREBBP,E1
10664,CTCF,E1
1499,CTNNB1,E1
11151,CORO1A,E1
8452,CUL3,E1
1654,DDX3X,E1
10522,DEAF1,E1
1717,DHCR7,E1
23181,DIP2A,E1
1742,DLG4,E1
1760,DMPK,E1
1788,DNMT3A,E1
1808,DPYSL2,E1
1826,DSCAM,E1
1778,DYNC1H1,E1
1859,DYRK1A,E1
253738,EBF3,E1
79813,EHMT1,E1
8666,EIF3G,E1
1995,ELAVL3,E1
2033,EP300,E1
2332,FMR1,E1
2290,FOXG1,E1
27086,FOXP1,E1
93986,FOXP2,E1
2561,GABRB2,E1
2562,GABRB3,E1
64599,GIGYF1,E1
26058,GIGYF2,E1
2891,GRIA2,E1
2904,GRIN2B,E1
2670,GFAP,E1
2770,GNAI1,E1
3069,HDLBP,E1
283450,HECTD4,E1
3097,HIVEP2,E1
3188,HNRNPH2,E1
3192,HNRNPU,E1
3265,HRAS,E1
23096,IQSEC2,E1
64207,IRF2BPL,E1
284058,KANSL1,E1
83473,KATNAL2,E1
3745,KCNB1,E1
3786,KCNQ3,E1
51780,KDM3B,E1
10765,KDM5B,E1
23135,KDM6B,E1
4297,KMT2A,E1
9778,KIAA0232,E1
58508,KMT2C,E1
55904,KMT2E,E1
51111,KMT5B,E1
8216,LZTR1,E1
54551,MAGEL2,E1
55777,MBD5,E1
79143,MBOAT7,E1
4204,MECP2,E1
8861,LDB1,E1
57689,LRRC4C,E1
9969,MED13,E1
23389,MED13L,E1
4212,MEIS2,E1
4130,MAP1A,E1
283078,MKX,E1
23040,MYT1L,E1
80155,NAA15,E1
112939,NACC1,E1
26960,NBEA,E1
10787,NCKAP1,E1
340533,NEXMIF,E1
4763,NF1,E1
25836,NIPBL,E1
57555,NLGN2,E1
54413,NLGN3,E1
8648,NCOA1,E1
4306,NR3C2,E1
4929,NR4A2,E1
9378,NRXN1,E1
9379,NRXN2,E1
9369,NRXN3,E1
64324,NSD1,E1
55690,PACS1,E1
5079,PAX5,E1
57526,PCDH19,E1
5253,PHF2,E1
51317,PHF21A,E1
23469,PHF3,E1
55023,PHIP,E1
9631,NUP155,E1
57649,PHF12,E1
23126,POGZ,E1
55624,POMGNT1,E1
5528,PPP2R5D,E1
57479,PRR12,E1
5718,PSMD12,E1
139411,PTCHD1,E1
5728,PTEN,E1
84687,PPP1R9B,E1
5536,PPP5C,E1
5754,PTK7,E1
5781,PTPN11,E1
10743,RAI1,E1
5649,RELN,E1
473,RERE,E1
5991,RFX3,E1
22999,RIMS1,E1
6096,RORB,E1
6304,SATB1,E1
6323,SCN1A,E1
6326,SCN2A,E1
6334,SCN8A,E1
