Gene Name,Gene ID
steap2,261729
tiprl,261726
or2w6p,81406
rfpl1,5988
rfx1,5989
rfc2,5982
rfc3,5983
rev3l,5980
rfc1,5981
rfng,5986
trim27,5987
rfc4,5984
rfc5,5985
rpl18p4,392979
apoc1,341
uck1,83549
ccl11,6356
znf837,116412
rps2p28,100132673
ervk-5,60358
mfsd5,84975
linc01623,401242
nuf2,83540
samd3,154075
cyp4x1,260293
nsun5p2,260294
ampd1,270
spata31e1,286234
ampd3,272
amph,273
bin1,274
amt,275
amy1a,276
amy1b,277
amy1c,278
amy2a,279
ccl15,6359
649201,649201
linc02843,286238
khdc1,80759
prr7,80758
aarsd1,80755
tmem121,80757
100133257,100133257
prr23d2,100133251
plac8l1,153770
dhfr2,200895
arl13b,200894
slc22a23,63027
mfhas1,9258
tspoap1,9256
cacna2d2,9254
aimp1,9255
rps6ka5,9252
numbl,9253
mapkapk3,7867
ifrd2,7866
atg4d,84971
brpf1,7862
snhg7,84973
sema3b,7869
or6c2,341416
acad11,84129
c1orf94,84970
agxt2,64902
ranbp17,64901
umod,7369
cdyl2,124359
cdy2b,203611
spon2,10417
snai1p1,10415
c4orf46,201725
yap1,10413
nsa2,10412
rapgef3,10411
ifitm3,10410
midn,90007
prmt5,10419
spon1,10418
gtf3c5,9328
gtf3c4,9329
trip10,9322
trip12,9320
ccdc184,387856
znhit3,9326
hmgn3,9324
trip4,9325
cdk5r2,8941
top3b,8940
ap3d1,8943
kynu,8942
btrc,8945
snord73a,8944
fam120c,54954
c1orf109,54955
fam71f1,84691
tmem160,54958
odam,54959
rbpj,3516
abhd1,84696
tp53i13,90313
tgif2lx,90316
znf616,90317
chordc1,26973
znf285,26974
pabpc1p3,26978
152048,152048
med8,112950
elane,1991
lrrc57,255252
elavl2,1993
serpinb1,1992
elavl3,1995
elavl1,1994
elf1,1997
elavl4,1996
elf3,1999
elf2,1998
ptf1a,256297
100134091,100134091
znf169,169841
cyp1b1-as1,285154
mlnr,2862
gpr39,2863
ffar1,2864
285150,285150
gpr42,2866
ffar2,2867
grk4,2868
grk5,2869
ppic,5480
syce2,256126
trbv27,28560
trbv25-1,28562
trbv24-1,28563
645937,645937
dtx3l,151636
trbv19,28568
vkorc1,79001
aunip,79000
mis12,79003
trir,79002
scnm1,79005
cuedc2,79004
dbndd1,79007
metrn,79006
ddx50,79009
pafah1b3,5050
gpr146,115330
tmod4,29765
751602,751602
tmod2,29767
tmod3,29766
usp25,29761
blnk,29760
pacsin3,29763
ap3s1,1176
ap2s1,1175
ap1s1,1174
ap2m1,1173
pofut1,23509
ttc9,23508
lrrc8b,23507
bicral,23506
tmem131,23505
rimbp2,23504
zfyve26,23503
100131914,100131914
clca1,1179
