Approved symbol	Previous symbols	Synonyms	NCBI Gene ID	Ensembl gene ID
A1BG			1	ENSG00000121410
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	ENSG00000268895
A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	ENSG00000148584
A1S9T~withdrawn				
A2M		FWP007, S863-7, CPAMD5	2	ENSG00000175899
A2M-AS1			144571	ENSG00000245105
A2ML1	CPAMD9	FLJ25179, p170	144568	ENSG00000166535
A2ML1-AS1				ENSG00000256661
A2ML1-AS2				ENSG00000256904
A2MP1	A2MP		3	ENSG00000256069
A2MR~withdrawn				
A2MRAP~withdrawn				
A3GALT2	A3GALT2P	IGBS3S, IGB3S	127550	ENSG00000184389
A4GALT	P1	A14GALT, Gb3S, P(k)	53947	ENSG00000128274
A4GNT		alpha4GnT	51146	ENSG00000118017
A12M1~withdrawn				
A12M2~withdrawn				
A12M3~withdrawn				
A12M4~withdrawn				
AA~withdrawn				
AAAS			8086	ENSG00000094914
AABT~withdrawn				
AAC1~withdrawn				
AAC2~withdrawn				
AACS		FLJ12389, SUR-5, ACSF1	65985	ENSG00000081760
AACSP1	AACSL		729522	ENSG00000250420
AACT~withdrawn				
AADAC		DAC, CES5A1	13	ENSG00000114771
AADACL2		MGC72001	344752	ENSG00000197953
AADACL2-AS1			101928142	ENSG00000242908
AADACL3		OTTHUMG00000001887	126767	ENSG00000188984
AADACL4		OTTHUMG00000001889	343066	ENSG00000204518
AADACP1			201651	ENSG00000240602
AADAT		KATII, KAT2, KYAT2	51166	ENSG00000109576
AAGAB		FLJ11506, p34	79719	ENSG00000103591
AAK1		KIAA1048, DKFZp686K16132	22848	ENSG00000115977
AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971	ENSG00000087884
AAMP			14	ENSG00000127837
AANAT		SNAT	15	ENSG00000129673
AAR2	C20orf4	bA234K24.2	25980	ENSG00000131043
AARD	C8orf85	LOC441376	441376	ENSG00000205002
AARS		CMT2N, AlaRS	16	ENSG00000090861
AARS2	AARSL	KIAA1270, bA444E17.1	57505	ENSG00000124608
AARSD1		MGC2744	80755	ENSG00000266967
AARSP1				ENSG00000249038
AASDH		NRPS998, LYS2, ACSF4	132949	ENSG00000157426
AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	60496	ENSG00000149313
AASS		LORSDH, LKRSDH	10157	ENSG00000008311
AATBC			284837	ENSG00000215458
AATF		DED, CHE-1, CHE1, BFR2	26574	ENSG00000275700
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	ENSG00000181409
AAVS1		AAV	17	
ABALON		INXS	103021294	ENSG00000281376
ABAT		GABAT, GABA-T	18	ENSG00000183044
ABC1~withdrawn				
ABC2~withdrawn				
ABC3~withdrawn				
ABC7~withdrawn				
ABC50~withdrawn				
ABCA1	ABC1, HDLDT1	TGD	19	ENSG00000165029
