Probability,Gene Name,Gene ID,Positive Gold Standard,Negative Gold Standard
0.4633518159389496,steap2,261729,0,0
0.602949857711792,tiprl,261726,0,0
0.5095701813697815,or2w6p,81406,0,0
0.5013446807861328,rfpl1,5988,0,0
0.5543951988220215,rfx1,5989,0,0
0.4550435245037079,rfc2,5982,0,0
0.49373891949653625,rfc3,5983,0,0
0.5197385549545288,rev3l,5980,0,0
0.36120933294296265,rfc1,5981,1,0
0.49808359146118164,rfng,5986,0,0
0.5366892218589783,trim27,5987,0,0
0.4191693961620331,rfc4,5984,0,0
0.5128188133239746,rfc5,5985,0,0
0.5127435326576233,rpl18p4,392979,0,0
0.47601842880249023,apoc1,341,0,0
0.4814533293247223,uck1,83549,0,0
0.47422805428504944,ccl11,6356,0,0
0.4580518305301666,znf837,116412,0,0
0.5142228007316589,rps2p28,100132673,0,0
0.5127435326576233,ervk-5,60358,0,0
0.4662635028362274,mfsd5,84975,0,0
0.5127435326576233,linc01623,401242,0,0
0.3917732536792755,nuf2,83540,0,0
0.3582427501678467,samd3,154075,0,0
0.38652679324150085,cyp4x1,260293,0,0
0.4492945671081543,nsun5p2,260294,0,0
0.4168839752674103,ampd1,270,0,0
0.34154316782951355,spata31e1,286234,0,0
0.3939984142780304,ampd3,272,0,0
0.5052137970924377,amph,273,0,0
0.504642128944397,bin1,274,0,0
0.4647153615951538,amt,275,1,0
0.32448017597198486,amy1a,276,0,0
0.4906217157840729,amy1b,277,0,0
0.32461676001548767,amy1c,278,0,0
0.3362025320529938,amy2a,279,0,0
0.515596330165863,ccl15,6359,0,0
0.5127435326576233,649201,649201,0,0
0.5095701813697815,linc02843,286238,0,0
0.449692040681839,khdc1,80759,0,0
0.543548047542572,prr7,80758,0,0
0.5009409785270691,aarsd1,80755,0,0
0.5419716238975525,tmem121,80757,0,0
0.5127435326576233,100133257,100133257,0,0
0.5127435326576233,prr23d2,100133251,0,0
0.4876907765865326,plac8l1,153770,0,0
0.4645298421382904,dhfr2,200895,0,0
0.46204009652137756,arl13b,200894,0,0
0.5584118962287903,slc22a23,63027,0,0
0.5027491450309753,mfhas1,9258,0,0
0.43914878368377686,tspoap1,9256,1,0
0.5284925699234009,cacna2d2,9254,0,0
